stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11
1,The,teenager,does,tour,at,most,nine,restaurants.,+
2,The,shuffle,does,tour,at,most,nine,restaurants.,-
3,That,car,looks,like,at,least,seven,prints.,+
4,That,smile,looks,like,at,least,seven,prints.,-
5,The,doctor,brought,at,most,eight,gates.,+
6,The,width,brought,at,most,eight,gates.,-
7,An,actor,arrived,at,at,most,six,lakes.,+
8,a,poet,arrived,at,at,most,six,lakes.,-
9,Every,senator,notices,at,most,four,windows.,+
10,Every,senator,notices,at,most,four,insults.,-
11,The,hospital,had,fired,at,most,four,people.,+
12,The,corporation,had,fired,at,most,four,people.,-
13,This,actress,was,driving,to,at,least,nine,malls.,+
14,This,yankee,was,driving,to,at,least,nine,malls.,-
15,Every,girl,climbed,up,at,most,ten,hills.,+
16,Every,belief,climbed,up,at,most,ten,hills.,-
17,Some,car,had,resembled,at,least,seven,pictures.,+
18,Some,town,had,resembled,at,least,seven,pictures.,-
19,A,banana,has,disgusted,at,least,ten,women.,+
20,a,planter,has,disgusted,at,least,ten,women.,-
21,Each,dancer,would,return,to,at,least,seven,schools.,+
22,Each,nickel,would,return,to,at,least,seven,schools.,-
23,The,waiter,noticed,at,most,six,mountains.,+
24,The,insanity,noticed,at,most,six,mountains.,-
25,This,man,is,talking,to,at,most,three,pedestrians.,+
26,This,money,is,talking,to,at,most,three,pedestrians.,-
27,That,person,can,lift,at,most,nine,turtles.,+
28,That,mind,can,lift,at,most,nine,turtles.,-
29,The,customer,could,kiss,at,most,three,girls.,+
30,The,sushi,could,kiss,at,most,three,girls.,-